134,  1.76,  1.38,  1.38,
135,  1.77,  1.43,  1.43,
136,  1.77,  1.49,  1.49,
137,  1.77,  1.54,  1.54,
138,  1.78,  0.19,  0.19,
139,  1.78,  0.37,  0.37,
140,  1.78,  0.49,  0.49,
141,  1.78,  0.58,  0.58,
142,  1.79,  0.66,  0.66,
143,  1.79,  0.73,  0.73,
144,  1.79,  0.80,  0.80,
145,  1.79,  0.86,  0.86,
146,  1.79,  0.91,  0.91,
147,  1.80,  0.96,  0.96,
148,  1.80,  1.00,  1.00,
149,  1.80,  1.05,  1.05,
150,  1.80,  1.09,  1.09,
151,  1.80,  1.13,  1.13,
152,  1.81,  1.17,  1.17,
153,  1.81,  1.20,  1.20,
154,  1.81,  1.23,  1.23,
155,  1.81,  1.26,  1.26,
156,  1.81,  1.29,  1.29,
157,  1.81,  1.32,  1.32,
158,  1.81,  1.35,  1.35,
159,  1.82,  1.37,  1.37,
160,  1.82,  1.39,  1.39,
161,  1.82,  1.41,  1.41,
162,  1.82,  1.43,  1.43,
163,  1.82,  1.45,  1.45,
164,  1.82,  1.46,  1.46,
165,  1.82,  1.48,  1.48,
166,  1.82,  1.49,  1.49,
167,  1.82,  1.50,  1.50,
168,  1.82,  1.51,  1.51,
169,  1.82,  1.52,  1.52,
170,  1.82,  1.52,  1.52,
171,  1.82,  1.53,  1.53,
172,  1.82,  1.53,  1.53,
173,  1.82,  1.53,  1.53,
174,  1.82,  1.53,  1.53,
175,  1.82,  1.53,  1.53,
176,  1.82,  1.52,  1.52,
177,  1.82,  1.52,  1.52,
178,  1.82,  1.51,  1.51,
179,  1.82,  1.50,  1.50,
180,  1.82,  1.49,  1.49,
181,  1.82,  1.48,  1.48,
182,  1.82,  1.46,  1.46,
183,  1.82,  1.45,  1.45,
184,  1.82,  1.43,  1.43,
185,  1.82,  1.41,  1.41,
186,  1.82,  1.39,  1.39,
187,  1.82,  1.37,  1.37,
188,  1.81,  1.35,  1.35,
189,  1.81,  1.32,  1.32,
190,  1.81,  1.29,  1.29,
191,  1.81,  1.27,  1.27,
192,  1.81,  1.24,  1.24,
